id,Category,Text
5743,Accountant,jessica claire montgomery street san francisco ca 94105 555 4321000 resumesampleexamplecom professional summary 7 years experience grants accounting account administration account management experience working vendors employers united states overseas experience dealing account systems financial documents english arabic ms office suite grants account management general ledger entry tracking review data trending knowledge accountant 062013 current skills budget analysis superior attention detail strong communication skills advanced bookkeeping skills invoice coding familiarity work history anoka county mn anoka mn preparing uploading journal entries monthly cash actual received grants cultural office related expenses eg office expenses students health coverage expenses translation expenses etc processing sending monthly reports finance department dohaqatar explain grants status expense type bank statement remaining cash budget needed incoming fiscal year reviewing monthly field office operating expense reports accuracy compliance assigned budgets reviewing expenses identifying allowable expenses providing recommendations reports supervisors cultural attache preparing submitting following wire transfers direct deposits made vendors maintaining data integrity financial transactions submitted vendors providing updates clarifications supervisors finance department auditors collecting appropriate expense documentation english arabic entering information system general ledger database collaborating field finance managers dohaqatar expense inquiries supporting materials grants processed wires vendors expense allowability policies additional awards reconciling business advance accounts monthly closing accounts completed required grants suggesting allowable budget line items changes comply funder regulation budget requirements providing analysis review awards requirements comply employer funder regulations accounting administrator 2010 062013 barr engineering grand rapids mi maintained update spreadsheets incoming invoices contracts awarded grants coordinated departments verify information transactions contacted vendors us field necessary inquire billing ask documents managed petty cash cash advance provided staff kept management informed area activities significant problems attended participated meetings required master science electrical computer engineering 2008 new york institute technology bachelor science software engineering 2006 almansour university college english fluent arabic native education languages
5927,Accountant,jessica claire 100 montgomery st 10th floor 555 4321000 resumesampleexamplecom professional summary enthusiastic job title eager contribute team success hard work attention detail excellent organizational skills clear understanding task task training skill motivated learn grow excel industry driven student leveraging studies area study seeks realworld experience job title offers strong interpersonal task prioritization skills organized dependable candidate successful managing multiple priorities positive attitude willingness take added responsibilities meet team goals seek maintain fulltime position offers professional challenges utilizing interpersonal skills excellent time management problemsolving skills experienced job title number years experience industry excellent reputation resolving problems improving customer satisfaction reliable employee seeking job title position offering excellent communication good judgment supervised team number staff members accomplishments used microsoft excel develop inventory tracking spreadsheets achieved result introducing software type tasks fixed assets management cash analysis asset utilization reports erp software decision making accounts payable document recordkeeping judgement decision making flexible adaptable accounting software systems payroll management critical thinking analysis attention detail positive team player relationship building effective professional communication processing checks invoices microsoft office financial reporting personnel recordkeeping review financial statements review report preparation problem solving paperwork processing active learning administrative oversight skills employee training goal development team building leadership auditing financial recordkeeping time management files maintenance serviceoriented task prioritization conflict negotiation typing 10key entry work organization prioritization schedule coordination work task scheduling financial data analysis business planning creative merchandising business administration negotiation budgeting coaching mentoring contract management verbal written communication stakeholder management contract negotiation goal setting work history accountant 102021 current anova saint louis mo created budgets forecasts management group meet regular accounting deadlines gathered financial information prepared documents closed books conducted detailed technical analytical review federalstate corporate partnership corporation tax returns fas 109 provisions quarterly estimates prepared associates brought errors nearzero reporting payroll administration general bookkeeping set improved accounting systems processes meet business needs maximize operational success completed daily cash functions like account tracking payroll wage allocations budgeting donating cash banking reconciliations reconciled accounts reviewed expense data net worth assets maintained uptodate knowledge permits certificates documents mandatory government departments improved efficiency data collection analysis modeling enhance practices increase customer retention prepared documents reports presentations executives board members using advanced software proficiencies followed customers collect specific financial information verify details preparation annual 1095 forms evaluated improved accuracy completeness financial records reconciled company accounts credit cards employee expenses commissions monitored status accounts receivable payable facilitate prompt processing completed financial reports inform managers stakeholders processed payroll approximately number total employees evaluated employee expense reports verified accuracy communicated suppliers reconcile invoice payments reviewed general ledger entries assessed accuracy maintained accurate complete documentation financial department procedures facilitate new employee training completed audit papers thoroughly documenting audit tests findings initiated comprehensive account assessments check viability stability profitability business operations suggested key budgetary changes increase company profits prepared working papers reports supporting documentation audit findings collected reported monthly expense variances explanations tracked funds prepared deposits reconciled accounts calculated payroll deductions accurately using software processed payroll meet preset requirements provided journal entries performed accounting accrual basis maintained integrity general ledger chart accounts ownerdesignated broker 102021 current anova winona mn liaised property owners prospective buyers facilitate purchase transfer ownership established developed real estate agency driving recruitment operational growth worked closely clients facilitate appropriate loans inspections credit reports negotiated real estate contracts navigate transactions buyers sellers arranged inspections surveys sold properties compared properties possessing similar features determine competitive market prices managed number agents assisted number potential property buyers achieve residential goals generated lists properties sale locations descriptions available financing options obtained agreements property owners place properties sale real estate firms sold high volume properties short timeframes exceed quotas maximize business revenue advised clients mortgage housing conditions identify successful properties promote customer satisfaction collected fees documented payment processes property transactions assisted clients financial planning purchase built deepened productive relationships prospective competitive customers drive sustained growth provided clients price quotes securities financial information corporations issuing select securities met members understand goals recommend solutions fit specific needs collaborated clients maintain relationships provide customers thorough support guidance answered inquiries provided information sales representatives distributed appropriate paperwork fulfilled quote requests deliver excellent customer support accurately processed routine financial transactions type customers devised cutting edge client solutions using latest data science webbased technologies supported businesses setting joint ventures investors type markets presented financial plans clients based analysis financial status goals conceived built managed hedging services numberperson team fostered positive business relationships promote continued interest type products services gathered customer information maintained crm database computed total holdings dividends commissions allocate appropriate payments customers responded customer questions concerns escalated supervisor resolution educated worked clients roi terms find accurate solutions generated leads customer referrals industry trade shows type sources corresponded customers conferred coworkers answer inquiries discuss market fluctuations resolve account problems maintained regular contact clients inform transactions performance led crossdepartmental divisional workflows supporting risk management prepared contracts related documentation according strict andards created implemented strategic trading approaches facilitating result worked clients develop financial planning strategies solutions evaluation finances documented customer interactions relationships using crm systems arranged sales buyers sellers acting representative type party met clients determine financial objectives review assets liabilities cash flow financial information read financial publications remain informed trends affecting market conditions supported sales brokers consultants underwriters marketing sales activities responded via telephone email questions job title regarding licensing commissions website logins website navigation recorded supporting documentation phone calls written correspondence researched items thoroughly kept uptodate latest trends marketplace completed training programs remain updated develop proficiency important industry information accountant 012021 current taher inc jackson mi created budgets forecasts management group meet regular accounting deadlines gathered financial information prepared documents closed books prepared documents reports presentations executives board members using advanced software proficiencies tracked financial progress creating quarterly yearly balance sheets completed daily cash functions like account tracking payroll wage allocations budgeting donating cash banking reconciliations set improved accounting systems processes meet business needs maximize operational success established quickbooks accounting system reflect accurate financial records reviewed processed employee expense reports vendor invoices payment maintained processed invoices deposits money logs investigated daily variances corrected errors resolve discrepancies calculated deductions processed payroll employees entered financial information payments guarantee accurate ontime payments employees vendors verified accurate recordkeeping processes reducing financial inconsistencies organized carried proactive monthend quarterly yearend processes tracked expenses income businesses organizing maintaining bank statements checking accounts completed payroll employees maintained detailed records procedures monitored verified approved invoices reviewed balances using financial software assess balance sheet variances purchasing 102013 102016 town gilbert city state negotiated policies contracts vendors achieve optimal pricing consistent availability collaborated buyers special events seasonal promotions maintain adequate product stock drive sales standardized inventory quarterly reporting analysis instituted corrective action closeouts outofstock items keep inventory records current maintained consistent email communica stores suppliers confirm track orders verify price revisions purchase orders negotiated suppliers vendors representatives researched suppliers based availability quality selection price managed vendor purchase order dispatch delivery invoicing set contractual guidelines maintain budgetary regulations computed created purchase orders system monitor stock levels verify purchase requisitions expedite customer orders maintained reviewed computerized records items purchased costs associated purchases determined lowest possible cost factoring quality reliability negotiated favorable contracts adjusted procedures needed maximize department effectiveness wrote standard operating procedures department tracked inventory shipments prepared spreadsheets detailing item information coordinated changes agreement might occur contract lifetime reviewed quotes contractors obtain best pricing service organization created solicitation packages conducted thorough research job title oversaw full contract administration processes amount yearly service material purchases coordinated attended meetings companys main contact review contractual obligations provided administrative support several projects valued amount associate arts business administration 012012 ottawa university ottawa ks education
151,Advocate,robert smith care advocate ii phone 0123456789 email infoqwikresumecom website qwikresumecom summary continue professional growth experience personal initiative immediate value lead increased responsibilities within organization core competencies customer service database spreadsheet management professional experience care advocate ii abc corporation september 2009 january 2014 key deliverables assist educate families obtaining access retaining memberships available healthcare services programs navigate members selected programs give instructions premium payments annual renewals health plan systems well provide instruction use healthy familiesmedicalaim handbook schedule appointments medical dental services monitor enrollment conduct followup applicants track reenrollments assist families appeals payment disputes complex issues participate community outreach events well ongoing training program updates prepare maintain required paperwork compile monthly reports presentations care advocate delta corporation 20082009 key deliverables april 2013 quality assurance training caregivers call phones behavioral health care advocate reviewed clinical assessments certified levels care according state federal policies work done telephone work environment call center intensive case management high risk claimants assessment psychiatric substance use symptoms history identification service needs linkages necessary services including certification inpatient substance abuse mental health admissions via review symptoms history labs etc also concurrent review treatment needed education 2259 oak street old forge new york 13420 free resume template copyright qwikresumecom usage guidelines
6054,Advocate,jessica claire resumesampleexamplecom 555 4321000 100 montgomery st 10th floor professional summary energetic personality 10 years experience offering quality customer service team leader focused maintaining effective communication diligent work ethic growth mindset looking transfer personable skillset gathered jessicae service industry something aligned human resources involved health insurance years passion navigating benefits customers vendors years position sounds like great opportunity help employees understand utilize benefits maximize experience skills customer service oriented organized effective communicator team player sales minded multitasking flexibilityversatility wellversed microsoft word excelcrms education cal state university fullerton fullerton ca 052016 bachelor arts english graduated cum laude may 2016 gpa 351 deans list spring 2013 fall 2013 spring 2014 spring 2015 en italia fall 2015 spring 2016 member golden key honor society majored english emphasis modernist poetry prose apilorenzo de medici university florence italy semester long study abroad program florence italy studies included world religions english italian language work history mrci worksource patient access advocate shakopee mn 012021 current build maintain relationships patients providers key stakeholders ensuring best interests met proactively keep informed progress issues important updates act patient advocate identifying possible avenues healthcare coverage coordinate doctors offices patients pharmacies manage respond incoming calls determine best meet needs customer ensure calls documented per established guidelines procedures provide oversight guidance transfer prescriptions based degrees urgency specialty pharmacies including tracking deliveries settling shipping disputes assist training new patient access advocates shadowingreverse shadowing streamlinedupdated 45 documentsor processes since program launch involved client feedback improvement answer roughly 1015 callsinquiries per day electric boat program specialist stonington ct 102019 012021 apart emergency service request esr team handled client escalationshigh sensitivity cases patients experiencing barrier continuing treatment conduct insurance verifications understand patients prescribed therapy eligible coverage coordinate prior authorizations investigate alternative insurance coverage funding sources process patient applications various complexities follow programs specifications determine eligibility place follow calls respond enquiries patients andor healthcare providers necessary liaise partner distributors pharmaceutical manufacturers request products per programs guidelines track shipments familiar market place insurance options available patients educate patients available options appropriate maintain professional calm friendly demeanor express thoughts instructions clearly verbal written communication answer upwards 40 callsinquiries per day davidson college program representative davidson nc 122018 102019 quickly efficiently manage incoming faxes program customers identify nature request triage faxes calls information applicable software systems manage customer inquiries per established procedures necessary conduct outgoing calls obtain missing information needed complete program service appropriate information case case basis provide clean complete accurate data information appropriate software systems manage organize coordinate mailing outgoing program related materials per programs specifications marriott international lugg driver goodlettsville tn 092018 122018 completed routine pre post trip inspections evaluate vehicles assess maintenance needs loaded secured items trucks avoid damage parcels delivery coordinated efficient merchandise loading unloading keep tight schedules corbins q catering manager city state 022015 092018 worked directly farmers markets restaurant teams lessen turnover improve sops developed new process employee evaluation resulted marked performance improvements responded client requests via telephone email would main point contact cateringevents initiated key partnerships wedding venues san diego area increasing revenues 100 span 2 years obtained documents clearances certificates approvals local agenciesparties involved service resolved employmentrelated disputes proactive communication led comprehensive safety training 20 staff members handled understaffing disputes terminating employees administering disciplinary procedures coordinated work activities staff relating employment compensation labor relations employee relations outpost summer camps group coordinator city state 062013 082016 worked children varying age interest skill developmental levels organized guided group activities leading coaching participating campers participated meetings coordinate staff campers progress issues goal achievement constructed benches mulched cleaned facilities rotation volunteers trained staff members conducting events following safety procedures coached mentored camp counselors instructors effective strategies relating students teaching important life skills communicated parents staff teachers regarding children program issues additional information worked behalf pharmaceuticals like johnson johnson janssen gilead familiar siebel pegasys salesforce crms familiar saba microsoft office
2869,Agriculture,marcus hall farm manager 639 hairysemanticsinfo marcushall21hotmailcom lake amyland cyprus summary enthusiastic dedicated farm manager 4 years experience agricultural operations proficient crop cultivation livestock management precision agriculture techniques skilled budget management team leadership project planning achieved notable success implementing sustainable farming practices resulting reduced environmental impact strong problemsolving abilities adept resolving complex challenges related farming operations completed bachelor science agriculture university agricultural sciences passionate farming committed optimizing farm productivity sustainability accomplishments include transforming traditional methods implementation sustainable practices leadership crop yield optimization development comprehensive livestock health program experience farm manager green acres farm 2022 ongoing checkley wood lu7 managed aspects farm operations including crop cultivation livestock management equipment maintenance developed implemented efficient farming practices resulting 20 increase crop yield oversaw team 10 farm workers providing guidance training implemented precision agriculture techniques resulting 15 reduction fertilizer usage improved soil health developed executed comprehensive livestock health program resulting 30 decrease animal mortality rates managed budget 500000 optimizing expenses achieving cost savings 25 collaborated thirdparty suppliers streamline procurement processes ensuring timely delivery farm inputs implemented sustainable farming practices reducing water usage 40 minimizing environmental impact life philosophy farming profession hope strengths adaptability successfully managed multiple farm projects simultaneously adapting changing priorities ensuring timely completion problemsolving effectively resolved complex challenges related crop diseases irrigation issues equipment breakdown resulting minimal disruptions optimal farm performance communication collaborated diverse stakeholders suppliers team members regulatory authorities fostering open communication facilitating smooth farm operations wwwenhancvcom powered enhancu
6200,Agriculture,jessica claire 100 montgomery st 10th floor 555 4321000 resumesampleexamplecom summary dedicated focused project management specialist 7 years experience excelling prioritizing completing multiple tasks simultaneously following achieve project goals flexible detailoriented adaptive team player expertise equipment operation staff training development customer service process improvements skills workforce training budgeting forecasting work flow planning performance improvements staff management multiunit operations management work planning prioritization experience project managermitigation manager 062017 current rollins inc stafford tx performance monitoring complex problem solving team collaboration verbal written communication customer relationship management project management client relations built established strong partnerships teams vendors contractors created project plans established timelines assigned appropriate teams managed workflow throughout construction led meetings internal team members consultants contractors forecasted scheduled monitored project timelines personnel performance cost efficiency developed solutions project risks issues meeting quality timeline goals objectives identified needs coordinated resource allocation deliver quality standards time within budget conducted periodic inspections job sites quality progress created team objectives roles specific goals outlined individual drove continuous improvement project delivery process providing strong leadership made changes project scope cost implemented effective change management processes keep project upto date generated tracked change orders contractual modifications affecting budget schedule focused project monitoring management developing forecasts tracking expenses drafted project construction schedule updated job progressed de operatormaterial handler 082009 122017 eenergy city state addressed problems quickly reported clear information working minimal supervision reported safety hazards remediation response provided friendly professional assistance employees visitors customers maintained high levels alertness throughout shifts completed required shift logs reports highlighting routine activities suspicious circumstances critical incidents detected emergency situations keen listening close observation respond appropriately alarms agricultural worker 061998 082009 countryside cooperative city state operated tractors tractordrawn machinery selfpropelled machinery plow harrow fertilize soil applied fertilizer ground enhance growth directed monitored work casual seasonal help planting harvesting mowed weedwhacked mulched planted areas lawns mixed animal feed additives medicines prescribed portions deadheaded annuals flowering perennials encourage flowering growth applied pesticides rid grounds mosquitoes wasps ticks sprayed chemicals selfpropelled sprayer plants harvest crops mulched fertilized crops improve yield loaded unloaded feed chemicals equipment trucks pest control service technician 081996 081998 nebraskaland exterminator city state detailed every job wellwritten report pointing sanitation structural issues could result pest activity identified pest issues placed traps bait removed dead pests extermination suggested natural pesticides eliminate pantry moths fruit flies stink bugs followed strict corporate regulatory protocols governing pesticide insecticide application established professional relationships customers identify solve pest problems identified effective chemicals treatments use specific pests conducted interior exterior pest control services alleviate mice insects inspected building perimeters determine pest point entry recommended company products services prevent repeat infestations boost sales elimination solutions explained reviewed service agreements customers cultivate understanding customer satisfaction met customers residences places business check pest rodent situations followed company protocols applying pesticides inside outside structures adhered safety procedures applying pesticides reduce exposure people animals applied pesticides control strategies manage pests maintained knowledge adhered state rules regulations set mechanical traps baits glue boards remove pests interior areas inspected buildings facilities determine appropriate pest control measures utilized appropriate protective gear equipment application mixed chemicals based property climate conditions deliver optimal elimination prevention efficiency recognized consistent quality service efficiency inspected facilities determine infestation source appropriate treatment determined method elimination would effective depending upon type pest degree infestation identified infestations isolated sources physical inspections premises attended workshops seminars hosted employer keep current methods regarding pest control calculated fumigant chemical applications requirements based size building exterior footprint fostered customer safety cleaning removing pesticides application checked sites leaks positioning fastening tarp edges building taping vents create airtight environments education training high school diploma 051995 norris high school firth ne
6280,Apparel,career focus jessica claire montgomery street san francisco ca 94105 555 4321000 resumesampleexamplecom seeking store manager position utilize nearly nine years retail management experience including fresh food preparation service experience assistant store manager 062014 current lands endstaten island ny managing team 7 department managers hiring termination annual evaluation employees providing coaching training existing employees ensuring store schedules objectives met employees coordinating retail store operations analyzing data store reports organize plan implement strategy overseeing operation entire store store manager present zone manager 102013 062014 spencer gifts llc brick nj managing team 5 department managers overseeing daily operation 6 different departments within store working closely asset protection monitor minimize risk loss analyzing reports effort salaried management partnering local vendors drive sales increase overall store volume department manager garden center 022013 102013 gulfshore insurance naples fl making critical departmental business decisions monitoring shrink ensuring modular integrity daily utilizing customer value program assist live plant rotation gaining knowledge department reading weekly department manager swas report ordering stocking building displays scanning outs creating manual picks providing clear full concise directions associates claims associate 062012 022013 ingles markets incorporated west jefferson nc processing shipping damaged goods merchandise according company guidelines processing hazardous materials according state company guidelines monitoring donation tracking regularly attending store safety meetings creating submitting bill lading paperwork claims pallets ensuring merchandise departments store shipped properly via fedex ups processing recalls daily dsdreceiving associate 042012 062012 bass pro shops fort mill sc checking vendor merchandise back door needed processing asn auditing asn pallets needed processing vendor credits assisting unloading process staging pallets apparel rolling racks rocket carts needed making cardboard plastic sandwich bales processing sitetostore fedex ups merchandise delivered back door appropriately ensure refrigerated frozen items come acceptable temperature documenting frozendairy deliveries garden center associate 062011 042012 walmart city state assisting customers running register zoning stocking organizing merchandise wateringpruning plants needed assisting areas hardlines padstore needed building displays setting modulars pricing apparel associate 092010 062011 walmart city state stocking zoning organizing merchandise binning picking merchandise answering phones monitoring fitting rooms setting modulars checking outofdate merchandise infant consumables department building seasonal special event displays languages english spanish certifications fork lift certified walkie pallet jack certified food safety certified fresh food safety certified store champion stock process change implementation education high school diploma general 2002 lincoln west senior high school cleveland oh
6343,Apparel,summary jessica claire montgomery street san francisco ca 94105555 4321000 resumesampleexamplecom product development managersr designer apparel packaging graphics responsible delivering fashion needs wide range products ability collaborate product development team execute production create trendtheme boards color palettes handcomputer sketch strong understanding production well cost structure technical packages ability provide clear accurate complete specifications style area expertise strong fabric knowledge cut n sew wovens sweaters skills adobe creative suitesillustrator photoshop indesign cc microsoft office excel word power point lotus notes outlook cad ned graphicseasy weave easy knit coloring repeat working knowledge u4ia kaledo pdmplm experience sr freelance designerproduct development manager michelle designs city state 072012 current worked cross functionally building maintaining relationships product development departments execute product details including construction detail color form style fit graphic application trim etc worked directly clients stages development production worked clients selling designing interior homes ballard designs pottery barn kids developed packaging multiple apparel footwear companies tjxavery dennison designed graphic design tshirtspet wear b positive projectpetrageous designs designed childrens apparel including sleepwear sweater sets rompers dresses baby togs baby fairzutano sfoapparel designerproduct manager tjx corporation city state managed developed product development process 102002 062012 designed artwork graphics specific classifications apparel focusing mens ladies childrens apparel worked product teams build design garments fit costing structure providing new exciting assortments cross functional leader led teams including merchants overseas offices management product development drive accountability enroll team commitment meet business objectives use relevant appropriate resources accurately determine anticipate validate current future trends competition retail landscape business drivers grew childrens sweater business 100000 business 1000000000 business 10 years designed 600 unique styles 4 month period time saved 30k print development utilizing artwork prints departments monitored production flow accordance company calendar reviewed wip work progress reports ensure time delivery provided accurate sketches including detailed closeups technical designs approved submits including lab dips knit downs strike offs labelpackaging fit production trained mentored team 3 designers 20 freelance contractors secior designerproduct manager may merchandising corporation city state 091999 102002 merchandised designed product line childrens juniors cut n sew woven fabrications supervised sourcing process achieve best possible cost throughout creation process managed sourcing ordering fabric yardage trim details specific classifications season created utilized pdm design sketches specification pages attended fittings prototype meetings production samples responsible merchandising apparel product per delivery partnered team throughout development cycle initial tech pack print fabrications end product responsible completing technical line drawings keeping visual needs date building detailed tech packs present effectively confidently levels organization prepares global price proposals using established tools guidelines consulted buyers mmc competitive situations arise traveled overseas offices asia 24 times year ensure correct fabrication development execution production accurate strong organizational time management communication presentation skills managed 2 designers created mentored designers pathway growth promoted home textiles account manager amctarget corporation city state managed development process design implementation home cor candles seasonal products domestics home textiles worked overseas factories sample negotiate price package line items sale worked buyers development offshore sourcing seasonal programs presented merchandised planogram buyer seasonal programs end caps worked designers creating bedding window treatments create mix match line responsible executing key strategies projects creating mood boards aid buyers managed team 4 assistants education training bachelor science textile design syracuse university syracuse ny skills productbrand development sourcingnegotiation technical fit trendcolor print repeattextile design knitwear expert 1992
6483,Architecture,jessica claire resumesampleexamplecom 555 4321000 montgomery street san francisco ca 94105 summary tier 23 network server troubleshooting maintenance installation currently escalation point systems applications network administrators studying complete ccna comptia management gain knowledgeskills acquire ccnp ccie knowledge base windows 10 7 embedded exchange 20072012 dell sonicwall vpnmpls voip zultys avayaesi citrix landesk kaspersky jiraconfluence sharepoint windows ad hpdm 47 screenconnect dell kace samanage framework ltc papercut altiris docutrack experience great american insurance group desktop supervisor dallas tx 112014 current oversee team 4 hardware software network troubleshooting tier 2 3 support 9 pharmacies 400 employees 136 automated pharmacies implement hpmd 5 additional pharmacies assist 2007 2013 migration assist 2008 2012 sever update oversee win xp win 7 upgrade manage quoting purchase requests resolve employee customer relations issues maintain asset control vendor relations ike group senior desktop technician honolulu hi 022012 112014 purchased partners pharmacy dec 2014 tier 1 2 support 4 pharmacies 200 employees 125 automated pharmacies assist exchange 2003 2007 migration assist client side mail migration internal hosted exchange office365 develop dell kace image deployment education texas university december 2008 bachelor science agricultural leadership development agricultural leadership development certifications comptia network compo01020686394 setupmaintain 100 utm firewalls vpn failover remote management installmanage poe cameras securitydocumentation medication automated pharmacies maintain troubleshoot pharmacy networking data center mpls vpn develop documentation troubleshooting escalation dr develop copy script image process raid pc without data loss hca help desk manager katy tx 032010 032012 computersoftware support 6500 clients including windows xp vista 7 server 2008 105 106 autodesk 2012 adobe cs 55 arc gis spss programs sccm altiris 69 logmein teamviewer remote support 6 rio grande valley centers implemented papercut print tracking evaluate budget cost losses providing cost price highest quality secure printerhardwaresoftware purchases multiple venders develop implement osx integrating windows ad managed print server staff student printing project manager new website including large knowledge base department assist client side mail migration exchange 2003 2007 coordinate win xp win 7 office 20037 office 2010 staff faculty ensuring data integrity provide one week training program new employees taught single class sessions incoming freshman transfer students dispatched 15 help desk staff 4 techs appropriate level issues maintaining prompt thorough resolutions conflict resolution college department stafffaculty perform employment processes evaluations needed documented repair procedures policies effort enhance efficiency knowledge base jack hilliard distributing inventory management city state 072008 022010 maintain accurate inventory reconcile daily sales train new warehouse employees order processing verify document bills laden design efficient floor plan new products identify locate missing inventory repair return inventory damaged products warehouse lead augustdecember 2008 implemented objective suggestions warehouse employees increase efficiency safety discovered resolve format errors new customer account profiles documenting errors simplify solving future inaccuracies
6446,Architecture,jessica claire montgomery street san francisco ca 94105 555 4321000 resumesampleexamplecom summary dedicated landscape architecture technical analytical communication skills demonstrated 15 years experience landscape architecture design professional highly effective integrating art science business landscape landscape architect integrates environmental approach large scale commercial projects promoting sustainable practices would like learn techniques knowledges new plants sciences software skills could make better professional landscape architecture area also would like solve environmental problems world make world beautiful place live ability major dearest wish career completing education getting license landscape architect top position career education training bachelor arts landscape architecture 2012 istanbul university istanbul high school diploma mathematics science 2007 private ortado u high school kartal istanbul second place high school graduated high school diploma mathematics science 2006 suleyman demirel high school kartal istanbul first place high school graduated experience landscape architecture 2013 052014 wsb houston tx discussed design standards procedures directors design architecture drafted detailed drawings structures specifying dimensions materials needed collaborated builders see construction line drawings designs led team architects technicians interns throughout contract document phases landscape project coordinated review contractors schedules submission shop drawings samples reviewed completed reports plans estimates calculations accuracy designed constructed maintained water forms vegetation walks landscape features drafted technical writeups proposals projects landscape architecture intern 062011 072011 wsb austin tx office skills internship landscape architecture intern 062010 072010 isik landscape city state plantation skills internship activities honors sertificate istanbul 2008 international landscape architecture symposium skills site environmental analysis project planning team player microsoft office programs hand drafting autocad adobe indesign land use planning hand rendering drawing sketchup basic perspective drawing lighting irrigation planting dimensioning technical grading details specs general site plans languages bilingual turkishenglish accomplishments contributed renovation downtown sector sancaktepe istanbul including improvements hardscape landscape also conducted controlling maintenance parks public spheres mosques schools green belts completed landscaping environmental planing projects parks culture centres health centre veterinary area mosques pertaining sancaktepe mayoralty also landscaping project revisions contributed project drawings set parks tendered purpose
